星5段階評価,店名,ジャンル,お問い合わせ,予約可否,住所,交通手段,営業時間,dinner,lunch,支払い方法,受賞・選出歴,サービス料・ チャージ
3.49,東京屋台らーめん 翔竜 （しょうりゅう）,ラーメン、つけ麺、油そば・まぜそば,050-5589-5590,予約不可,東京都足立区千住1-39-12 田中ビル　１Ｆ  ,北千住駅から、徒歩1分（0.1km）です。 北千住駅から139m,月 11:00 - 15:00 18:00 - 01:00 火・水・木 11:00 - 01:00 金 11:00 - 02:40 土 11:00 - 16:00 17:00 - 02:40 日 11:00 - 15:00 18:00 - 00:00 ■ 営業時間 ・日曜　15：00〜18：00 ・月曜　15：00〜18：00 ・土曜　16：00〜17：00 準備のため上記時間はアイドルタイムとさせて頂きます。  ■定休日 なし  ■2階席予約 2階席、予約承ります。 ランチタイム12：00～13：00 3名様より承ります。  当日のみ。 11：50まで受け付けします。,"￥1,000～￥1,999",～￥999,カード不可 電子マネー不可 QRコード決済不可,,
3.68,麺屋 音 （オト）,ラーメン、つけ麺,03-3882-3922,予約不可,東京都足立区千住3-60 土井川ビル 1F  ,北千住駅から徒歩5分 北千住駅から340m,11:30 - 00:00 ■ 定休日 無,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可,,
3.57,麺屋 音 別邸 （メンヤ オト ベッテイ）,ラーメン,03-5284-1139,予約不可,東京都足立区千住4-19-11  ,北千住駅から徒歩5分 北千住駅から384m,11:30 - 00:00 ■ 定休日 無,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可,,
3.04,福しん 北千住東口店,ラーメン,03-3870-0256,予約不可,東京都足立区千住旭町41-2  ,ＪＲ常磐線 北千住駅東口、すぐ 北千住駅から79m,11:00 - 22:00 L.O. 21:45 ■ 定休日 年末年始 他、臨時休業有り,"￥1,000～￥1,999",～￥999,カード可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可 （PayPay、d払い、au PAY）,,
3.30,韓韓麺 千住店 （カンカンメン）,韓国料理、ラーメン,03-3870-7826,予約可,東京都足立区千住2-62  ,北千住駅から104m,火・水・木・金・土 18:00 - 23:00 月・日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999",None-info,カード不可 電子マネー不可,,
3.04,日高屋 北千住西口駅前店,ラーメン、中華料理、食堂,03-3870-9177,予約不可,東京都足立区千住2-62 根岸ビル1F  ,北千住駅から徒歩2分ほど 北千住駅から86m,月 09:00 - 02:00 火・水・木・金・土 05:00 - 02:00 日・祝日 05:00 - 23:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード可 （AMEX、JCB、VISA、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,,
3.15,北海道らーめん奥原流 久楽 北千住店,ラーメン、つけ麺,03-5284-1440,予約不可,東京都足立区千住旭町42-1 北千住駅構内２Fコンコース  ,北千住駅構内２Fコンコース 北千住駅から32m,07:00 - 09:30 10:00 - 23:00 ■ 営業時間 9:30～10:00の間はスープ入換えの為準備中になります。  ■定休日 無休,～￥999,～￥999,カード不可 電子マネー可 QRコード決済可,,
3.68,北千住煮干中華蕎麦 かれん,ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住2-52  ,北千住駅から146m,月・水・金 11:00 - 15:00 18:00 - 23:00 L.O. 22:45 火・木・土・日・祝日 11:00 - 23:00 L.O. 22:45 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,,
3.12,紅虎餃子房 ルミネ北千住店 （べにとらぎょうざぼう）,中華料理、飲茶・点心、ラーメン,03-3870-9122,予約可,東京都足立区千住旭町42-2 ルミネ北千住店 8F  ,JR・地下鉄北千住駅 徒歩1分 北千住駅から96m,11:00 - 22:00 ■ 営業時間 11:00～22:00（21:30）  ■ 定休日 ルミネ北千住に準ずる,"￥2,000～￥2,999","￥1,000～￥1,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可,,
3.27,元祖油堂 北千住東口店,油そば・まぜそば、つけ麺,03-5284-7048,予約不可,東京都足立区千住旭町41-17  ,JR･東武鉄道･東京メトロ北千住駅東口から徒歩1分 北千住駅から85m,■ 営業時間 営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください  ■ 定休日 無休,～￥999,"￥1,000～￥1,999",カード不可 電子マネー可 QRコード決済不可,,
3.73,牛骨らぁ麺マタドール,ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住東2-4-17 中村ビル１Ｆ  ,JR常磐線「北千住」駅(東口)から徒歩4分 北千住駅から285m,火・水・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 月 定休日 ■ 営業時間 【火・水・木・金・土】 18:00～21:00（※なくなり次第終了）  【日・祝】 11:30～16:00（※なくなり次第終了）,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,None-info,
3.21,鯛塩そば灯花 千住ミルディス店,ラーメン,050-5600-3843,予約不可,東京都足立区千住3-92 千住ミルディス Ⅰ番街 1F  ,北千住駅直結　千住ミルディス1番館フードコート内 北千住駅から147m,10:00 - 20:00,～￥999,"￥1,000～￥1,999",カード可 （VISA） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、iD、QUICPay） QRコード決済可 （PayPay）,,
3.19,肉玉そば おとど 北千住店,ラーメン,03-6806-1054,予約不可,東京都足立区千住2-62  ,JR北千住駅西口から徒歩2分 --- 北千住駅から95m,None-info,～￥999,"￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,,
3.02,日高屋 北千住東口店,ラーメン、中華料理,03-3888-0155,予約不可,東京都足立区千住旭町40-22  ,北千住駅から224m,10:30 - 23:00 L.O. 22:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999",～￥999,カード可 （AMEX、JCB） 電子マネー可 QRコード決済可,,
3.41,千住 チャーシュー軒,ラーメン,非公開,予約不可,東京都足立区千住2-64-1 北千住Village 1F  ,北千住駅から102m,月・火・水・木・土・日 11:00 - 04:00 金 11:00 - 07:00 ■営業時間 am11:00-am4:00 ※毎週金曜日のみ am11:00-am7:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,,
3.21,ラーメン 豚山 北千住東口店,ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住旭町40-28  ,北千住駅から133m,火・水・木・金・土・日 11:00 - 22:00 月 定休日 ■ 営業時間 営業時間・休業営業時間・休業日は変更となる場合がございますので、 HPにて最新情報をご確認ください,～￥999,"￥1,000～￥1,999",カード不可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済不可,,
3.06,福しん 北千住店,ラーメン、中華料理,03-3881-6203,予約不可,東京都足立区千住3-66  ,ＪＲ他、北千住駅西口から、宿場町通りへ（徒歩約5分） 北千住駅から301m,11:00 - 23:00 ■ 定休日 年末年始 他、臨時休業有り,～￥999,～￥999,カード不可 電子マネー可 QRコード決済可,,
3.73,つけめん さなだ,つけ麺、ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住3-6   このお店は「三郷市早稲田4-8-1」から移転しています。 ※移転前の情報は最新のものとは異なります。 移転前の店舗情報を見る,北千住駅２番出口から徒歩5分 北千住駅から451m,月 11:30 - 14:45 火・水・木・金 11:30 - 14:45 18:00 - 20:45 土 11:00 - 16:00 18:00 - 20:45 日 11:00 - 16:00 18:00 - 20:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,,
3.30,自家製麺 竜葵 マルイ北千住店 （ほおずき）,ラーメン、台湾まぜそば,03-6806-2166,予約不可,東京都足立区千住3-92 北千住マルイ 9F  ,北千住駅から196m,None-info,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,,
3.20,北海道らーめん みそ熊 北千住店,ラーメン,03-3870-5415,予約不可,東京都足立区千住3-31  ,北千住駅から391m,10:30 - 04:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999",～￥999,カード不可 電子マネー不可 QRコード決済不可,,
3.05,東京油組総本店 北千住組,油そば・まぜそば,03-5284-9368,予約不可,東京都足立区千住3-75-8  ,北千住から徒歩3分くらい。 旧日光街道の宿場町通り 北千住駅から244m,11:00 - 20:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,"￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,,
3.42,らぁ麺屋のさかいさん,ラーメン、油そば・まぜそば,不明の為情報お待ちしております,予約不可,東京都足立区千住旭町43-13  ,北千住駅から171m,月・火・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,,
3.36,東池袋 大勝軒 ○高屋 （まるたかや）,ラーメン、つけ麺,03-3870-9555,予約不可,東京都足立区千住3-12  ,JR常磐線・東京メトロ(千代田線・日比谷線)・東武線・つくばEX・「北千住駅」 北千住駅から542m,月・火・木・金・土・日 11:00 - 15:00 17:30 - 00:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,"￥1,000～￥1,999",カード不可 電子マネー不可,,
3.47,横浜ラーメン　武蔵家 北千住店,ラーメン、つけ麺,03-3870-7410,予約不可,東京都足立区千住旭町40-25 吉田ビル 1F  ,北千住駅から166m,月・火・水・木・金・土 06:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード不可 電子マネー不可 QRコード決済不可,,
3.13,らーめん 龍馬,ラーメン、居酒屋、ダイニングバー,不明の為情報お待ちしております,予約不可,東京都足立区千住1-39-6  ,ＪＲ常磐線・東京メトロ千代田線・日比谷線・東京スカイツリーライン・つくばエクスプレス　北千住駅　徒歩3分 北千住駅から224m,None-info,"￥1,000～￥1,999",None-info,カード不可 電子マネー不可,,
3.08,手打ちラーメン珍来 北千住店 （チンライ）,ラーメン、中華料理、餃子,03-3870-4506,予約不可,東京都足立区千住旭町27-14  ,千住駅から、徒歩3分（0.3km）です。 北千住駅から354m,月・火・木・金・土・日 11:00 - 00:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済可,,
3.04,どさん子 千住一丁目店,ラーメン、餃子,03-3881-4303,予約不可,東京都足立区千住1-23-11  ,北千住駅から、6分（0.5km）です。 北千住駅から370m,月・火・木・金・土・日 11:30 - 22:00 水 定休日,～￥999,～￥999,カード不可,,
3.44,武蔵家 北千住西口店,ラーメン,03-5284-3634,予約不可,東京都足立区千住2-55  ,JR常磐線、東京メトロ日比谷線・千代田線、東武スカイツリーライン、つくばエクスプレス　北千住駅下車　西口より徒歩3分 北千住駅から164m,11:00 - 00:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード不可 電子マネー不可 QRコード決済不可,,なし
3.36,雲林坊 北千住東口店,担々麺、中華料理,03-5284-8077,予約不可,東京都足立区千住旭町41-2  ,北千住駅東口のエスカレーターを降りて目の前 北千住駅から75m,火・水・木・金 11:30 - 23:00 L.O. 22:30 土・日・祝日 11:00 - 22:30 L.O. 22:00 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,,
3.07,麺屋 てぃーち,ラーメン,03-6806-1277,予約不可,東京都足立区千住仲町18-12  ,北千住駅から473m,火・水・木・金・土・日 11:00 - 15:00 17:00 - 22:00 L.O. 21:45 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,None-info,"￥1,000～￥1,999",カード可 電子マネー可 QRコード決済可,,
3.31,焼きあご塩らー麺 たかはし 北千住店,ラーメン,03-6806-2380,予約不可,東京都足立区千住旭町4-13 COTED'AZUR B棟 1F  ,JR「北千住駅」東口 徒歩２分 東京メトロ日比谷線・千代田線「北千住駅」東口　徒歩２分 東武鉄道伊勢崎線「北千住駅」東口　徒歩２分 つくばエクスプレス「北千住駅」東口 徒歩２分 北千住駅から159m,11:00 - 23:00 L.O. 22:50 ■ 定休日 無休（年末年始を除く）,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,,
3.29,宗庵 北千住店,ラーメン、つけ麺、餃子,03-5244-2134,予約不可,東京都足立区千住2-18  ,北千住駅から、徒歩7分です。 北千住駅から397m,None-info,～￥999,～￥999,カード不可 電子マネー不可 QRコード決済不可,,
3.40,ひむろ 北千住店,ラーメン,03-5284-8244,予約不可,東京都足立区千住2-44  ,北千住駅から244m,月・火・水・木・金・土 11:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,～￥999,～￥999,カード不可 電子マネー不可 QRコード決済可 （PayPay）,,
3.46,ラーメン鷹の目 北千住店,ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住2-29  ,北千住駅から256m,11:00 - 15:00 17:00 - 22:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,,
3.46,スタンド バイ ミー （STAND BY ME）,つけ麺、ラーメン,不明の為情報お待ちしております,予約不可,東京都足立区千住中居町17-14 1F  ,北千住駅西口7分。 JR常磐線、東武スカイツリーライン＆伊勢崎線、東京メトロ日比谷＆千代田線、つくばエクスプレス各線から、駅前きたろーど1010(センジュ)直進、国道4号交差点わたり左手沿い。 北千住駅から508m,月・火・木・金・土・日 11:00 - 15:00 17:30 - 21:30 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可 QRコード決済不可,,なし。
3.51,ラーメン炙り （あぶり）,つけ麺、ラーメン,03-3870-1277,予約不可,東京都足立区千住3-55 １Ｆ  ,北千住駅西口より徒歩4分 北千住駅から410m,火・水・木・金・土 11:30 - 15:00 L.O. 14:45 17:30 - 22:00 L.O. 21:30 日 11:30 - 15:00 月 定休日 ■ 営業時間 スープなくなり次第終了いたします。  ■ 定休日 月曜（祭日の場合は火曜）,"￥1,000～￥1,999","￥1,000～￥1,999",カード不可 電子マネー不可,,
-,浅蜊蕎麦 アサリビヨリ,ラーメン,03-4400-5158,None-info,東京都足立区千住旭町43-9  ,北千住駅から222m,月・日 12:00 - 14:00 火・水・木・金・土 定休日 八文字と別業態、昼のお店です。 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,None-info,None-info,,,
3.02,ラーメン　雑賀,ラーメン,03-3888-3131,None-info,東京都足立区千住2-62 瀬田ビル 1F  ,北千住駅から109m,None-info,None-info,None-info,カード可 （JCB、AMEX、Diners）,,
3.04,らんらん,ラーメン,03-3881-3058,予約可,東京都足立区千住関屋町17-15  ,京成関屋駅から505m,■定休日 毎週木曜日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,None-info,～￥999,カード不可 電子マネー不可,,
3.01,麺処 勇人 （メンドコロ ハヤト）,ラーメン、居酒屋、寿司,03-6806-1370,None-info,東京都足立区千住1-32-2 SSビル 1F  ,北千住駅徒歩2分 北千住駅から158m,None-info,None-info,None-info,,,
