店名,星5段階評価,dinner(~以内の値段で食べられる),lunch(~以内の値段で食べられる),北千住駅からの距離,北千住駅から徒歩(分),項目,お問い合わせ,予約可否,営業時間,支払い方法,声の大きさ,北千住駅から徒歩(分)(逆数),lunch(~以内の値段で食べられる)(逆数),星5段階評価(標準化),lunch(~以内の値段で食べられる)(標準化),北千住駅から徒歩(分)(標準化),最終評価
東京屋台らーめん 翔竜 （しょうりゅう）,3.49,1999,999,139.0,1,ラーメン,050-5589-5590,予約不可,月 11:00 - 15:00 18:00 - 01:00 火・水・木 11:00 - 01:00 金 11:00 - 02:40 土 11:00 - 16:00 17:00 - 02:40 日 11:00 - 15:00 18:00 - 00:00 ■ 営業時間 ・日曜　15：00〜18：00 ・月曜　15：00〜18：00 ・土曜　16：00〜17：00 準備のため上記時間はアイドルタイムとさせて頂きます。  ■定休日 なし  ■2階席予約 2階席、予約承ります。 ランチタイム12：00～13：00 3名様より承ります。  当日のみ。 11：50まで受け付けします。,カード不可 電子マネー不可 QRコード決済不可,4,1.0,0.001001001001001001,0.6666666666666671,1.0,1.0,12.26666666666667
横浜ラーメン　武蔵家 北千住店,3.47,999,999,166.0,2,ラーメン,03-3870-7410,予約不可,月・火・水・木・金・土 06:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,0.5,0.001001001001001001,0.6388888888888893,1.0,0.5,10.122222222222224
北千住煮干中華蕎麦 かれん,3.68,1999,1999,146.0,1,ラーメン,不明の為情報お待ちしております,予約不可,月・水・金 11:00 - 15:00 18:00 - 23:00 L.O. 22:45 火・木・土・日・祝日 11:00 - 23:00 L.O. 22:45 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,1.0,0.0005002501250625312,0.9305555555555558,0.24987493746873435,1.0,10.038288588738816
武蔵家 北千住西口店,3.44,999,999,164.0,2,ラーメン,03-5284-3634,予約不可,11:00 - 00:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,0.5,0.001001001001001001,0.5972222222222223,1.0,0.5,9.905555555555555
福しん 北千住東口店,3.04,1999,999,79.0,1,ラーメン,03-3870-0256,予約不可,11:00 - 22:00 L.O. 21:45 ■ 定休日 年末年始 他、臨時休業有り,カード可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済可 （PayPay、d払い、au PAY）,4,1.0,0.001001001001001001,0.041666666666667,1.0,1.0,9.01666666666667
日高屋 北千住西口駅前店,3.04,999,999,86.0,1,ラーメン,03-3870-9177,予約不可,月 09:00 - 02:00 火・水・木・金・土 05:00 - 02:00 日・祝日 05:00 - 23:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX、JCB、VISA、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,4,1.0,0.001001001001001001,0.041666666666667,1.0,1.0,9.01666666666667
ひむろ 北千住店,3.4,999,999,244.0,3,ラーメン,03-5284-8244,予約不可,月・火・水・木・金・土 11:00 - 23:00 日 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可 （PayPay）,4,0.3333333333333333,0.001001001001001001,0.5416666666666667,1.0,0.3333333333333333,8.950000000000001
千住 チャーシュー軒,3.41,1999,1999,102.0,1,ラーメン,非公開,予約不可,月・火・水・木・土・日 11:00 - 04:00 金 11:00 - 07:00 ■営業時間 am11:00-am4:00 ※毎週金曜日のみ am11:00-am7:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,4,1.0,0.0005002501250625312,0.5555555555555559,0.24987493746873435,1.0,8.088288588738816
牛骨らぁ麺マタドール,3.73,1999,1999,285.0,3,ラーメン,不明の為情報お待ちしております,予約不可,火・水・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 月 定休日 ■ 営業時間 【火・水・木・金・土】 18:00～21:00（※なくなり次第終了）  【日・祝】 11:30～16:00（※なくなり次第終了）,カード不可 電子マネー不可 QRコード決済不可,4,0.3333333333333333,0.0005002501250625312,1.0,0.24987493746873435,0.3333333333333333,7.7327330331832576
雲林坊 北千住東口店,3.36,1999,1999,75.0,1,ラーメン,03-5284-8077,予約不可,火・水・木・金 11:30 - 23:00 L.O. 22:30 土・日・祝日 11:00 - 22:30 L.O. 22:00 月 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,1.0,0.0005002501250625312,0.4861111111111111,0.24987493746873435,1.0,7.727177477627702
宗庵 北千住店,3.29,999,999,397.0,5,ラーメン,03-5244-2134,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可,4,0.2,0.001001001001001001,0.3888888888888891,1.0,0.2,7.622222222222223
元祖油堂 北千住東口店,3.27,999,1999,85.0,1,ラーメン,03-5284-7048,予約不可,■ 営業時間 営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください  ■ 定休日 無休,カード不可 電子マネー可 QRコード決済不可,4,1.0,0.0005002501250625312,0.3611111111111113,0.24987493746873435,1.0,7.077177477627703
麺屋 音 （オト）,3.68,1999,1999,340.0,4,ラーメン,03-3882-3922,予約不可,11:30 - 00:00 ■ 定休日 無,カード不可 電子マネー不可,4,0.25,0.0005002501250625312,0.9305555555555558,0.24987493746873435,0.25,7.038288588738816
北海道らーめん みそ熊 北千住店,3.2,1999,999,391.0,5,ラーメン,03-3870-5415,予約不可,10:30 - 04:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,0.2,0.001001001001001001,0.26388888888888934,1.0,0.2,6.972222222222224
日高屋 北千住東口店,3.02,1999,999,224.0,2,ラーメン,03-3888-0155,予約不可,10:30 - 23:00 L.O. 22:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （AMEX、JCB） 電子マネー可 QRコード決済可,4,0.5,0.001001001001001001,0.013888888888889206,1.0,0.5,6.872222222222224
回転寿司みさき エキア北千住 （【旧店名】海鮮三崎港）,3.04,3999,999,92.0,1,寿司,03-5284-4388,予約不可,07:00 - 10:00 11:00 - 23:00 L.O. 22:30 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、JCB、AMEX、Diners） 電子マネー可 QRコード決済可,3,1.0,0.001001001001001001,0.041666666666667,1.0,1.0,6.762500000000002
ラーメン 豚山 北千住東口店,3.21,999,1999,133.0,1,ラーメン,不明の為情報お待ちしております,予約不可,火・水・木・金・土・日 11:00 - 22:00 月 定休日 ■ 営業時間 営業時間・休業営業時間・休業日は変更となる場合がございますので、 HPにて最新情報をご確認ください,カード不可 電子マネー可 （交通系電子マネー（Suicaなど）） QRコード決済不可,4,1.0,0.0005002501250625312,0.27777777777777796,0.24987493746873435,1.0,6.64384414429437
鯛塩そば灯花 千住ミルディス店,3.21,999,1999,147.0,1,ラーメン,050-5600-3843,予約不可,10:00 - 20:00,カード可 （VISA） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、iD、QUICPay） QRコード決済可 （PayPay）,4,1.0,0.0005002501250625312,0.27777777777777796,0.24987493746873435,1.0,6.64384414429437
肉玉そば おとど 北千住店,3.19,999,1999,95.0,1,ラーメン,03-6806-1054,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可,4,1.0,0.0005002501250625312,0.25000000000000017,0.24987493746873435,1.0,6.499399699849926
福しん 北千住店,3.06,999,999,301.0,4,ラーメン,03-3881-6203,予約不可,11:00 - 23:00 ■ 定休日 年末年始 他、臨時休業有り,カード不可 電子マネー可 QRコード決済可,4,0.25,0.001001001001001001,0.0694444444444448,1.0,0.25,6.161111111111113
らぁ麺屋のさかいさん,3.42,1999,1999,171.0,2,ラーメン,不明の為情報お待ちしております,予約不可,月・火・木・金・土 11:30 - 14:30 18:00 - 21:00 日・祝日 11:30 - 16:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,0.5,0.0005002501250625312,0.5694444444444445,0.24987493746873435,0.5,6.1605108109610365
麺屋 音 別邸 （メンヤ オト ベッテイ）,3.57,1999,1999,384.0,5,ラーメン,03-5284-1139,予約不可,11:30 - 00:00 ■ 定休日 無,カード不可 電子マネー不可,4,0.2,0.0005002501250625312,0.7777777777777777,0.24987493746873435,0.2,6.043844144294369
どさん子 千住一丁目店,3.04,999,999,370.0,4,ラーメン,03-3881-4303,予約不可,月・火・木・金・土・日 11:30 - 22:00 水 定休日,カード不可,4,0.25,0.001001001001001001,0.041666666666667,1.0,0.25,6.016666666666668
紅虎餃子房 ルミネ北千住店 （べにとらぎょうざぼう）,3.12,2999,1999,96.0,1,ラーメン,03-3870-9122,予約可,11:00 - 22:00 ■ 営業時間 11:00～22:00（21:30）  ■ 定休日 ルミネ北千住に準ずる,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可,4,1.0,0.0005002501250625312,0.15277777777777818,0.24987493746873435,1.0,5.993844144294371
だんごの美好 北千住店,3.28,0,999,314.0,4,寿司,03-3882-6998,予約可,None-info,カード不可 電子マネー不可 QRコード決済不可,3,0.25,0.001001001001001001,0.37499999999999994,1.0,0.25,5.8125
北海道らーめん奥原流 久楽 北千住店,3.15,999,999,32.0,0,ラーメン,03-5284-1440,予約不可,07:00 - 09:30 10:00 - 23:00 ■ 営業時間 9:30～10:00の間はスープ入換えの為準備中になります。  ■定休日 無休,カード不可 電子マネー可 QRコード決済可,4,0.0,0.001001001001001001,0.19444444444444456,1.0,0.0,5.811111111111112
ラーメン鷹の目 北千住店,3.46,1999,1999,256.0,3,ラーメン,不明の為情報お待ちしております,予約不可,11:00 - 15:00 17:00 - 22:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,0.3333333333333333,0.0005002501250625312,0.6250000000000001,0.24987493746873435,0.3333333333333333,5.782733033183258
ラーメン炙り （あぶり）,3.51,1999,1999,410.0,5,ラーメン,03-3870-1277,予約不可,火・水・木・金・土 11:30 - 15:00 L.O. 14:45 17:30 - 22:00 L.O. 21:30 日 11:30 - 15:00 月 定休日 ■ 営業時間 スープなくなり次第終了いたします。  ■ 定休日 月曜（祭日の場合は火曜）,カード不可 電子マネー不可,4,0.2,0.0005002501250625312,0.6944444444444443,0.24987493746873435,0.2,5.610510810961036
焼きあご塩らー麺 たかはし 北千住店,3.31,1999,1999,159.0,2,ラーメン,03-6806-2380,予約不可,11:00 - 23:00 L.O. 22:50 ■ 定休日 無休（年末年始を除く）,カード不可 電子マネー不可 QRコード決済不可,4,0.5,0.0005002501250625312,0.4166666666666669,0.24987493746873435,0.5,5.366066366516593
自家製麺 竜葵 マルイ北千住店 （ほおずき）,3.3,1999,1999,196.0,2,ラーメン,03-6806-2166,予約不可,None-info,カード不可 電子マネー不可 QRコード決済不可,4,0.5,0.0005002501250625312,0.40277777777777773,0.24987493746873435,0.5,5.2938441442943684
はなの舞 北千住店,3.04,3999,999,155.0,2,寿司,050-5589-5189,予約可,月・火・水・木 11:30 - 00:00 L.O. 料理23:00 ドリンク23:30 金・土・祝前日 11:30 - 05:00 L.O. 料理04:00 ドリンク04:30 日 11:30 - 23:30 L.O. 料理22:30 ドリンク23:00,カード可 （VISA、JCB、AMEX、Master、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,3,0.5,0.001001001001001001,0.041666666666667,1.0,0.5,5.262500000000001
古市庵 北千住マルイ店,3.02,999,999,161.0,2,寿司,03-5244-1861,予約可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可,3,0.5,0.001001001001001001,0.013888888888889206,1.0,0.5,5.154166666666668
さかなや別邸,3.55,14999,2999,211.0,2,寿司,050-5592-6542,予約可 予約キャンセル時にはキャンセル料金として2日前50%、前日当日100％のコース料金を頂いています。ご了承ください。,11:30 - 13:30 L.O. 13:00 17:00 - 21:00 L.O. 20:30 ■ 営業時間 ランチ[月～日] ※ランチタイムは前日までの予約制のコース料理のみになります。    ディナー[月～日] ※終日2時間制とさせていただきます。 ※コース料理のみになっております。 ※席だけの予約は承っておりません。予めご了承ください。  ■ 定休日 不定休,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済不可,3,0.5,0.00033344448149383126,0.7499999999999999,0.0,0.5,4.425
魚力 北千住マルイ店,3.03,999,1999,145.0,1,寿司,03-5284-3621,予約不可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 （VISA、Master、JCB） 電子マネー可,3,1.0,0.0005002501250625312,0.027777777777777794,0.24987493746873435,1.0,4.007883108220777
山与し鮨,3.23,0,1999,171.0,2,寿司,03-3881-0733,予約可,None-info,カード可 （AMEX） 電子マネー不可,3,0.5,0.0005002501250625312,0.30555555555555575,0.24987493746873435,0.5,3.591216441554111
大江戸 北千住店,3.17,1999,1999,179.0,2,寿司,03-5813-0551,予約不可,None-info,カード可 （AMEX、JCB） 電子マネー可 （交通系電子マネー（Suicaなど）、iD） QRコード決済可 （PayPay）,3,0.5,0.0005002501250625312,0.22222222222222235,0.24987493746873435,0.5,3.2662164415541106
まぐろ人 北千住出張所,3.33,0,2999,224.0,2,寿司,03-5284-7689,予約不可,11:30 - 22:00,カード可 電子マネー可 QRコード決済可,3,0.5,0.00033344448149383126,0.4444444444444447,0.0,0.5,3.2333333333333343
東京油組総本店 北千住組,3.05,999,1999,244.0,3,ラーメン,03-5284-9368,予約不可,11:00 - 20:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済不可,4,0.3333333333333333,0.0005002501250625312,0.05555555555555559,0.24987493746873435,0.3333333333333333,2.821621922072147
手打ちラーメン珍来 北千住店 （チンライ）,3.08,1999,1999,354.0,4,ラーメン,03-3870-4506,予約不可,月・火・木・金・土・日 11:00 - 00:00 水 定休日 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー不可 QRコード決済可,4,0.25,0.0005002501250625312,0.09722222222222258,0.24987493746873435,0.25,2.704955255405482
鮨・酒・肴 杉玉 北千住,3.16,4999,1999,375.0,5,寿司,050-5872-7373,予約可 混雑した場合、お席のお時間２時間でお願いする場合がございます。 お客様にはご迷惑をお掛けしますが、ご理解とご了承お願い致します。,月・火・水・木・金 11:30 - 14:30 L.O. 14:00 17:00 - 23:00 L.O. 22:30 土・日・祝日 11:30 - 14:30 L.O. 14:00 16:00 - 23:00 L.O. 22:30,カード可 （VISA、Master） 電子マネー不可 QRコード決済不可,3,0.2,0.0005002501250625312,0.20833333333333376,0.24987493746873435,0.2,2.312049774887445
マクドナルド 北千住西口店,3.03,999,999,75.0,1,ハンバーガー,03-5284-5660,予約不可,24時間営業 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可 QRコード決済可,1,1.0,0.001001001001001001,0.027777777777777794,1.0,1.0,2.236111111111111
マクドナルド 北千住東口店,3.02,0,999,206.0,2,ハンバーガー,03-6806-2777,予約不可,06:00 - 00:00 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード可 電子マネー可 （楽天Edy） QRコード決済可 （PayPay）,1,0.5,0.001001001001001001,0.013888888888889206,1.0,0.5,1.718055555555556
マクドナルド 千住ミルディス店,3.02,999,999,204.0,2,ハンバーガー,03-5284-3501,予約不可,10:00 - 20:00 ■ 定休日 不定休(北千住マルイの営業に準ずる) 営業時間・定休日は変更となる場合がございますので、ご来店前に店舗にご確認ください。,カード不可 電子マネー可 QRコード決済可,1,0.5,0.001001001001001001,0.013888888888889206,1.0,0.5,1.718055555555556
廻り寿し 千寿 すしつね 北千住マルイ店,3.05,2999,2999,206.0,2,寿司,03-5284-3572,予約不可,11:00 - 22:00 ■ 営業時間 平日ランチ：11:00～15:00 ラストオーダー：和食21:00、その他21:30、お土産21:30（最終受取22:00迄）  ■ 定休日 不定休（マルイの休日に準ずる）,カード可 （JCB、AMEX、VISA、Master、Diners） 電子マネー不可 QRコード決済不可,3,0.5,0.00033344448149383126,0.05555555555555559,0.0,0.5,1.7166666666666668
BOSSA BURGER,3.59,2999,2999,217.0,2,ハンバーガー,050-5594-2985,予約可,11:30 - 15:00 15:00 - 22:00 L.O. 21:00 ■ 営業時間 ディナータイムワンドリンク制(15:00〜21:00)  お席ご予約について 土日祝日ランチタイムは、オープン時間11:30のみ それ以降17:00以降でしたらご予約可  平日は、どの時間でもご予約可能です。  ■ 定休日 不定休、年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD、QUICPay） QRコード決済可 （PayPay、d払い、楽天ペイ、au PAY）,1,0.5,0.00033344448149383126,0.8055555555555555,0.0,0.5,1.547222222222222
サニーダイナー 本店 （SUNNY DINER）,3.52,1999,1999,364.0,4,ハンバーガー,03-3888-3211,予約可,11:30 - 22:00,カード可 （VISA、Master） 電子マネー可 （交通系電子マネー（Suicaなど）、楽天Edy、nanaco、WAON、iD）,1,0.25,0.0005002501250625312,0.7083333333333335,0.24987493746873435,0.25,1.4706832582958147
Cafe＆Diner KHB （【旧店名】ケーエイチ バーガーズ）,3.46,1999,1999,265.0,3,ハンバーガー,050-5868-9642,予約可,月・水・木・日・祝日 11:30 - 22:30 L.O. 料理22:00 ドリンク22:30 金・土・祝前日 11:30 - 00:00 L.O. 料理23:00 ドリンク23:30 火 定休日 ■ 営業時間 ランチタイム11：30～15:00  ■ 定休日 火曜日が祝日の場合は水曜日、年末年始,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー不可 QRコード決済可 （PayPay）,1,0.3333333333333333,0.0005002501250625312,0.6250000000000001,0.24987493746873435,0.3333333333333333,1.4456832582958146
モスバーガー 北千住センター通り店 （MOS BURGER）,3.01,999,999,400.0,5,ハンバーガー,03-3882-3848,予約可,月・火・水・木・金・土・日・祝日 07:00 - 23:00,カード不可,1,0.2,0.001001001001001001,0.0,1.0,0.2,1.4
サニーダイナー ルミネ北千住店 （SUNNY DINER）,3.53,1999,1999,3.0,0,ハンバーガー,03-5284-3211,予約不可,11:00 - 22:00 ■ 定休日 不定休（ルミネの定休に準ずる）,カード可 （VISA、Master、JCB、AMEX） 電子マネー不可,1,0.0,0.0005002501250625312,0.7222222222222221,0.24987493746873435,0.0,1.23873881385137
築地玉寿司 ルミネ北千住店,3.07,0,1999,61.0,0,寿司,03-5813-5081,予約可,11:00 - 22:00 L.O. 21:30 ■ 営業時間 ランチ 11:00～15:00／［月～金（土・日・祝日除く）］  ■ 定休日 無休 （ルミネ北千住に準ずる）,カード可 電子マネー可,3,0.0,0.0005002501250625312,0.08333333333333338,0.24987493746873435,0.0,1.2245497748874437
エスディコーヒー 北千住 （Sd Coffee）,3.38,1999,1999,395.0,5,ハンバーガー,03-6806-1013,予約不可,月・水・木・金・土・日 09:00 - 18:00 火 定休日,カード可 （VISA、Master） 電子マネー不可 QRコード決済可 （PayPay）,1,0.2,0.0005002501250625312,0.513888888888889,0.24987493746873435,0.2,1.1679054805180369
オリジナルパンケーキハウス ルミネ北千住店,3.15,1999,1999,199.0,2,ハンバーガー,03-5284-8545,予約不可,11:00 - 22:00 L.O. 21:30 ■ 定休日 ルミネ北千住に準じる,カード可 （VISA、Master、JCB、AMEX、Diners） 電子マネー可 （交通系電子マネー（Suicaなど））,1,0.5,0.0005002501250625312,0.19444444444444456,0.24987493746873435,0.5,1.052627702740259
